country,RealCost
United States of America,1.05676720632E7
China,3599718.2282
Japan,2525528.3911999995
Germany,1556001.3599999999
United Kingdom,1458438.9309
France,1231243.514
Italy,981649.462
Canada,789292.3064
Australia,767932.9301
Republic of Korea,686456.3286
Brazil,621647.6637
Switzerland,608272.3720000001
Spain,449147.5575
Russian Federation,401782.848
Netherlands,399844.4622
India,345158.5809
Norway,287884.6366
Sweden,259694.0866
"China, Hong Kong SAR",253357.0548
United Arab Emirates,253245.43439999997
Belgium,243209.1808
Indonesia,232635.98659999997
Singapore,224146.4238
Mexico,222783.3972
Argentina,215312.7915
Saudi Arabia,209487.3333
Austria,187126.4188
Denmark,180814.9308
Turkey,180620.6208
Ireland,168981.2496
Israel,162012.3743
Poland,126613.31639999998
Thailand,118234.26560000001
Finland,118206.816
Qatar,112054.6646
Iran (Islamic Republic of),111956.3467
New Zealand,101032.7442
South Africa,95252.0988
Venezuela (Bolivarian Republic of),81089.9505
Chile,80618.5008
Malaysia,77981.9488
Colombia,67353.648
Portugal,67024.46519999999
Greece,66213.428
Philippines,63110.4942
Vietnam,54706.52709999999
Czechia,52899.069200000005
Egypt,44386.338500000005
Pakistan,44152.0906
Romania,41196.814
Hungary,34506.20250000001
Slovakia,27306.1572
Lebanon,23524.8959
Sri Lanka,17796.7192
Ukraine,16437.561
Slovenia,14740.9542
Croatia,14520.0508
Jordan,13817.511099999998
Belarus,12816.7323
Lithuania,12706.2738
Bulgaria,11391.363099999999
Serbia,7829.612
Estonia,7292.762
Cyprus,6658.564399999999
Bosnia and Herzegovina,3450.0873
The former Yugoslav Republic of Macedonia,1908.8747999999998
